Cell ID	Short name	Plate	Condition
II_D6_S330_R1_001	II_D6	II	OD 0.1
II_E4_S340_R1_001	II_E4	II	OD 0.1
II_E5_S341_R1_001	II_E5	II	OD 0.1
II_E6_S342_R1_001	II_E6	II	OD 0.1
II_F4_S352_R1_001	II_F4	II	OD 0.1
II_F5_S353_R1_001	II_F5	II	OD 0.1
II_F6_S354_R1_001	II_F6	II	OD 0.1
II_G4_S364_R1_001	II_G4	II	OD 0.1
II_G5_S365_R1_001	II_G5	II	OD 0.1
II_G6_S366_R1_001	II_G6	II	OD 0.1
II_H4_S376_R1_001	II_H4	II	OD 0.1
II_H5_S377_R1_001	II_H5	II	OD 0.1
II_H6_S378_R1_001	II_H6	II	OD 0.1
III_A1_S1_R1_001	III_A1	III	OD 0.1
III_A2_S2_R1_001	III_A2	III	OD 0.1
III_A3_S3_R1_001	III_A3	III	OD 0.1
III_B1_S13_R1_001	III_B1	III	OD 0.1
III_B2_S14_R1_001	III_B2	III	OD 0.1
III_B3_S15_R1_001	III_B3	III	OD 0.1
III_C1_S25_R1_001	III_C1	III	OD 0.1
III_C2_S26_R1_001	III_C2	III	OD 0.1
III_C3_S27_R1_001	III_C3	III	OD 0.1
III_D1_S37_R1_001	III_D1	III	OD 0.1
III_D2_S38_R1_001	III_D2	III	OD 0.1
III_D3_S39_R1_001	III_D3	III	OD 0.1
III_E1_S49_R1_001	III_E1	III	OD 0.1
III_E2_S50_R1_001	III_E2	III	OD 0.1
III_E3_S51_R1_001	III_E3	III	OD 0.1
III_F1_S61_R1_001	III_F1	III	OD 0.1
III_F2_S62_R1_001	III_F2	III	OD 0.1
III_F3_S63_R1_001	III_F3	III	OD 0.1
III_G1_S73_R1_001	III_G1	III	OD 0.1
III_G2_S74_R1_001	III_G2	III	OD 0.1
III_G3_S75_R1_001	III_G3	III	OD 0.1
III_H1_S85_R1_001	III_H1	III	OD 0.1
III_H2_S86_R1_001	III_H2	III	OD 0.1
III_H3_S87_R1_001	III_H3	III	OD 0.1
IV_A10_S106_R1_001	IV_A10	IV	OD 0.1
IV_A11_S107_R1_001	IV_A11	IV	OD 0.1
IV_A12_S108_R1_001	IV_A12	IV	OD 0.1
IV_B10_S118_R1_001	IV_B10	IV	OD 0.1
IV_B11_S119_R1_001	IV_B11	IV	OD 0.1
IV_B12_S120_R1_001	IV_B12	IV	OD 0.1
IV_C10_S130_R1_001	IV_C10	IV	OD 0.1
IV_C11_S131_R1_001	IV_C11	IV	OD 0.1
IV_C12_S132_R1_001	IV_C12	IV	OD 0.1
IV_D10_S142_R1_001	IV_D10	IV	OD 0.1
IV_D11_S143_R1_001	IV_D11	IV	OD 0.1
IV_D12_S144_R1_001	IV_D12	IV	OD 0.1
IV_E10_S154_R1_001	IV_E10	IV	OD 0.1
IV_E11_S155_R1_001	IV_E11	IV	OD 0.1
IV_E12_S156_R1_001	IV_E12	IV	OD 0.1
IV_F10_S166_R1_001	IV_F10	IV	OD 0.1
IV_F11_S167_R1_001	IV_F11	IV	OD 0.1
IV_F12_S168_R1_001	IV_F12	IV	OD 0.1
IV_G10_S178_R1_001	IV_G10	IV	OD 0.1
IV_G11_S179_R1_001	IV_G11	IV	OD 0.1
IV_G12_S180_R1_001	IV_G12	IV	OD 0.1
IV_H10_S190_R1_001	IV_H10	IV	OD 0.1
IV_H11_S191_R1_001	IV_H11	IV	OD 0.1
IV_H12_S192_R1_001	IV_H12	IV	OD 0.1
I_A10_S202_R1_001	I_A10	I	OD 0.3
I_A11_S203_R1_001	I_A11	I	OD 0.3
I_A12_S204_R1_001	I_A12	I	OD 0.3
I_B10_S214_R1_001	I_B10	I	OD 0.3
I_B11_S215_R1_001	I_B11	I	OD 0.3
I_B12_S216_R1_001	I_B12	I	OD 0.3
I_C10_S226_R1_001	I_C10	I	OD 0.3
I_C11_S227_R1_001	I_C11	I	OD 0.3
I_C12_S228_R1_001	I_C12	I	OD 0.3
